Performance Statistics   2021-12-03 11:30:00 - 2021-12-03 11:32:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
CardDeadlineDatasource#loadTree                        252,0         252         252         0,0           1
TDS null                                               306,0         306         306         0,0           1
loginWindow#afterShow                                    0,0           0           0         0,0           1
loginWindow#beforeShow                                   2,0           2           2         0,0           1
loginWindow#create                                     407,0         407         407         0,0           1
loginWindow#init                                        60,0          60          60         0,0           1
loginWindow#inject                                     383,0         383         383         0,0           1
loginWindow#load                                      3119,0        3119        3119         0,0           1
loginWindow#uiPermissions                                1,0           1           1         0,0           1
loginWindow#xml                                         12,5           0          25        12,5           2
mainWindow#create                                       97,0          97          97         0,0           1
mainWindow#init                                       1100,0        1100        1100         0,0           1
mainWindow#inject                                      133,0         133         133         0,0           1
mainWindow#load                                       2749,0        2749        2749         0,0           1
mainWindow#xml                                           1,0           0           2         1,0           2
mainWindow.voiceControlConsole#init                      0,0           0           0         0,0           1
mainWindow.voiceControlConsole#inject                  125,0         125         125         0,0           1
mainWindow.voiceControlConsole#load                     34,0          34          34         0,0           1
voiceControlConsole#create                             130,0         130         130         0,0           1
voiceControlConsole#xml                                  1,0           1           1         0,0           1

Performance Statistics   2021-12-03 11:32:00 - 2021-12-03 11:34:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
MenuItem.wf$Design.browse                             3361,0        3361        3361         0,0           1
mainWindow#afterShow                                     9,0           9           9         0,0           1
mainWindow#beforeShow                                    0,0           0           0         0,0           1
mainWindow#uiPermissions                                 0,0           0           0         0,0           1
wf$Design.browse#afterShow                               0,0           0           0         0,0           1
wf$Design.browse#beforeShow                              0,0           0           0         0,0           1
wf$Design.browse#companion                              20,0          20          20         0,0           1
wf$Design.browse#create                                 25,0          25          25         0,0           1
wf$Design.browse#init                                  275,0         275         275         0,0           1
wf$Design.browse#inject                                 20,0          20          20         0,0           1
wf$Design.browse#load                                 1735,0        1735        1735         0,0           1
wf$Design.browse#uiPermissions                           0,0           0           0         0,0           1
wf$Design.browse#xml                                    17,0           0          34        17,0           2
wf$Design.browse@designDs                              259,0         259         259         0,0           1
wf$Design.browse@designProcessVariableDs               105,0         105         105         0,0           1

Performance Statistics   2021-12-03 11:34:00 - 2021-12-03 11:36:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2021-12-03 11:36:00 - 2021-12-03 11:38:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2021-12-03 11:38:00 - 2021-12-03 11:40:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

